127.0.0.1 - - [24/Sep/2017:04:10:39 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:10:43 +0530] "GET /MedioxyPharm/index.jsp HTTP/1.1" 200 51794
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:10:43 +0530] "GET /MedioxyPharm/css/bootstrap.min.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:10:43 +0530] "GET /MedioxyPharm/css/font-awesome.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:10:43 +0530] "GET /MedioxyPharm/css/owl.carousel.css HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:10:43 +0530] "GET /MedioxyPharm/css/owl.theme.css HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:10:43 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:10:43 +0530] "GET /MedioxyPharm/css/custom.css HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:10:43 +0530] "GET /MedioxyPharm/js/respond.min.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:10:43 +0530] "GET /MedioxyPharm/css/animate.min.css HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:10:43 +0530] "GET /MedioxyPharm/js/jquery-1.11.0.min.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:10:43 +0530] "GET /MedioxyPharm/js/bootstrap.min.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:10:43 +0530] "GET /MedioxyPharm/js/jquery.cookie.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:10:43 +0530] "GET /MedioxyPharm/js/waypoints.min.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:10:43 +0530] "GET /MedioxyPharm/js/modernizr.js HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [24/Sep/2017:04:10:43 +0530] "GET /MedioxyPharm/js/bootstrap-hover-dropdown.js HTTP/1.1" 404 1116
