127.0.0.1 - - [01/Oct/2017:15:02:33 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:35 +0530] "GET /MedioxyPharm/ HTTP/1.1" 200 43993
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:35 +0530] "GET /MedioxyPharm/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:35 +0530] "GET /MedioxyPharm/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:35 +0530] "GET /MedioxyPharm/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:35 +0530] "GET /MedioxyPharm/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:35 +0530] "GET /MedioxyPharm/css/style.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:35 +0530] "GET /MedioxyPharm/css/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:35 +0530] "GET /MedioxyPharm/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/js/respond.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/img/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/img/logo-small.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/img/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/img/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/img/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/img/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/img/product1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/img/product1_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2017:15:02:36 +0530] "GET /MedioxyPharm/img/product2_2.jpg HTTP/1.1" 304 -
